report,prompt,model,reference_words,generated_words,length_ratio,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,bertscore_precision,bertscore_recall,bertscore_f1
report_quarterly_1,zero_shot,gemini,196,405,2.066326530612245,0.2557077625570776,0.49557522123893805,0.3373493975903614,0.05491990846681922,0.10666666666666667,0.07250755287009063,0.12100456621004566,0.2345132743362832,0.15963855421686746,0.8253948092460632,0.8409678339958191,0.8331085443496704
report_quarterly_1,zero_shot,openai,196,437,2.229591836734694,0.2396694214876033,0.5132743362831859,0.3267605633802817,0.049689440993788817,0.10666666666666667,0.06779661016949153,0.10330578512396695,0.22123893805309736,0.14084507042253522,0.8206861615180969,0.8297869563102722,0.8252114653587341
report_quarterly_1,zero_shot,qwen36,196,345,1.760204081632653,0.2756756756756757,0.45132743362831856,0.3422818791946309,0.04878048780487805,0.08,0.06060606060606061,0.12162162162162163,0.19911504424778761,0.15100671140939598,0.8239929676055908,0.8328564167022705,0.8284010291099548
report_quarterly_1,few_shot,gemini,196,378,1.9285714285714286,0.25790754257907544,0.4690265486725664,0.3328100470957614,0.04878048780487805,0.08888888888888889,0.06299212598425197,0.11678832116788321,0.21238938053097345,0.15070643642072215,0.8159339427947998,0.837405800819397,0.8265304565429688
report_quarterly_1,few_shot,openai,196,419,2.1377551020408165,0.24288840262582057,0.4911504424778761,0.32503660322108346,0.05482456140350877,0.1111111111111111,0.07342143906020558,0.10065645514223195,0.20353982300884957,0.1346998535871157,0.8239599466323853,0.8368908166885376,0.830375075340271
report_quarterly_1,few_shot,qwen36,196,540,2.7551020408163267,0.22696245733788395,0.588495575221239,0.32758620689655166,0.041025641025641026,0.10666666666666667,0.05925925925925926,0.09897610921501707,0.25663716814159293,0.14285714285714288,0.8214737772941589,0.8342389464378357,0.8278071284294128
report_quarterly_1,chain_of_event,gemini,196,391,1.9948979591836735,0.26365795724465557,0.4911504424778761,0.34312210200927357,0.05714285714285714,0.10666666666666667,0.07441860465116279,0.1163895486935867,0.2168141592920354,0.15146831530139104,0.8218980431556702,0.836956799030304,0.8293590545654297
report_quarterly_1,chain_of_event,openai,196,427,2.1785714285714284,0.26403326403326405,0.5619469026548672,0.3592644978783593,0.05416666666666667,0.11555555555555555,0.07375886524822696,0.12474012474012475,0.26548672566371684,0.16973125884016974,0.8498920202255249,0.8394622802734375,0.8446449637413025
report_quarterly_1,chain_of_event,qwen36,196,455,2.3214285714285716,0.2707509881422925,0.6061946902654868,0.3743169398907104,0.06336633663366337,0.14222222222222222,0.08767123287671233,0.11264822134387352,0.252212389380531,0.15573770491803277,0.8248587846755981,0.8362997770309448,0.830539882183075
report_quarterly_2,zero_shot,gemini,293,498,1.6996587030716723,0.29699248120300753,0.5231788079470199,0.37889688249400477,0.07532956685499058,0.132890365448505,0.09615384615384616,0.14473684210526316,0.25496688741721857,0.18465227817745805,0.8256272077560425,0.8387371301651001,0.8321305513381958
