report,prompt,model,rouge1_f1,rouge2_f1,rougeL_f1,bertscore_precision,bertscore_recall,bertscore_f1
report_1,zero_shot,gemini,0.5684931506849314,0.2852233676975945,0.3253424657534247,0.8829032182693481,0.8960996866226196,0.8894525170326233
report_1,zero_shot,openai,0.6061643835616438,0.32302405498281783,0.37328767123287676,0.8788275718688965,0.9015337228775024,0.89003586769104
report_1,zero_shot,ollama,0.5304518664047151,0.28007889546351084,0.3025540275049116,0.8796176910400391,0.8826429843902588,0.8811277747154236
report_1,few_shot,gemini,0.5502008032128515,0.29032258064516137,0.3694779116465863,0.896802544593811,0.892887532711029,0.8948407769203186
report_1,few_shot,openai,0.6120996441281138,0.3535714285714286,0.38790035587188615,0.8833341598510742,0.9023151397705078,0.8927237391471863
report_1,few_shot,ollama,0.5899581589958159,0.33613445378151263,0.34728033472803344,0.8902029395103455,0.8890726566314697,0.8896374106407166
report_1,chain_of_event,gemini,0.5512367491166078,0.3120567375886525,0.3710247349823322,0.8949746489524841,0.8958820104598999,0.8954281210899353
report_1,chain_of_event,openai,0.515625,0.2852664576802508,0.35000000000000003,0.8882810473442078,0.8976010084152222,0.892916738986969
report_1,chain_of_event,ollama,0.6354775828460039,0.4227005870841487,0.49512670565302147,0.9062288999557495,0.9123802185058594,0.9092941284179688
report_2,zero_shot,gemini,0.5043859649122807,0.20264317180616737,0.29824561403508776,0.8652280569076538,0.8765819668769836,0.8708679676055908
report_2,zero_shot,openai,0.4444444444444445,0.21906693711967545,0.21818181818181817,0.8540089130401611,0.8737793564796448,0.8637810349464417
report_2,zero_shot,ollama,0.45731707317073167,0.1411042944785276,0.21341463414634146,0.8782517910003662,0.861591100692749,0.8698416352272034
report_2,few_shot,gemini,0.4625,0.16736401673640167,0.2583333333333333,0.8657301664352417,0.866796612739563,0.8662630915641785
report_2,few_shot,openai,0.44720496894409945,0.182952182952183,0.2153209109730849,0.8486071825027466,0.8709352016448975,0.8596262335777283
report_2,few_shot,ollama,0.4837758112094395,0.2373887240356083,0.25368731563421826,0.8828513622283936,0.8725159764289856,0.8776533007621765
report_2,chain_of_event,gemini,0.43037974683544306,0.1483050847457627,0.23628691983122363,0.864021897315979,0.8597403764724731,0.8618758320808411
report_2,chain_of_event,openai,0.44529750479846447,0.18882466281310212,0.23416506717850288,0.849965512752533,0.8719816207885742,0.8608328104019165
report_2,chain_of_event,ollama,0.4775280898876405,0.22598870056497175,0.2584269662921348,0.8827897310256958,0.8741499185562134,0.8784485459327698
report_3,zero_shot,gemini,0.41379310344827586,0.14571948998178505,0.20689655172413793,0.8670697808265686,0.8641869425773621,0.8656259775161743
report_3,zero_shot,openai,0.3716216216216216,0.11186440677966103,0.22297297297297297,0.8496050238609314,0.8591256737709045,0.8543388247489929
report_3,zero_shot,ollama,0.464,0.1876675603217158,0.29333333333333333,0.8715041279792786,0.8558077812194824,0.8635846376419067
report_3,few_shot,gemini,0.3946360153256705,0.14615384615384616,0.18007662835249041,0.8671775460243225,0.877469539642334,0.87229323387146
report_3,few_shot,openai,0.39999999999999997,0.14625850340136054,0.20677966101694917,0.8639431595802307,0.8738142251968384,0.8688506484031677
report_3,few_shot,ollama,0.4085510688836104,0.17183770883054894,0.2755344418052256,0.8674842715263367,0.8538903594017029,0.8606336712837219
report_3,chain_of_event,gemini,0.45807770961145194,0.18891170431211501,0.2167689161554192,0.877714216709137,0.8687329888343811,0.8732004761695862
report_3,chain_of_event,openai,0.37275985663082434,0.12230215827338128,0.2114695340501792,0.850638747215271,0.8591768145561218,0.8548864722251892
report_3,chain_of_event,ollama,0.44385026737967914,0.2688172043010753,0.358288770053476,0.8894158601760864,0.8639531135559082,0.876499593257904
report_4,zero_shot,gemini,0.5176908752327747,0.23177570093457944,0.26070763500931105,0.8757661581039429,0.89933842420578,0.8873957991600037
report_4,zero_shot,openai,0.4937388193202147,0.22621184919210055,0.24686940966010734,0.8641850352287292,0.9005180597305298,0.8819775581359863
report_4,zero_shot,ollama,0.42105263157894735,0.146095717884131,0.2506265664160401,0.8532071113586426,0.8713687062263489,0.8621923327445984
report_4,few_shot,gemini,0.4612244897959184,0.18032786885245902,0.25306122448979596,0.878355860710144,0.8944066166877747,0.8863085508346558
report_4,few_shot,openai,0.4639175257731959,0.2275862068965517,0.24742268041237112,0.8709880709648132,0.8966648578643799,0.883639931678772
report_4,few_shot,ollama,0.4010554089709762,0.13793103448275862,0.23746701846965698,0.8570774793624878,0.8674927353858948,0.8622536063194275
report_4,chain_of_event,gemini,0.5048543689320388,0.24171539961013647,0.26019417475728157,0.8834042549133301,0.8981510996818542,0.8907166123390198
report_4,chain_of_event,openai,0.5275142314990512,0.2704761904761905,0.3263757115749526,0.8925151228904724,0.9199910759925842,0.9060448408126831
report_4,chain_of_event,ollama,0.31527093596059114,0.085667215815486,0.15763546798029557,0.8101962208747864,0.8394564390182495,0.8245668411254883
