report,prompt,model,rouge1_f1,rouge2_f1,rougeL_f1,bertscore_precision,bertscore_recall,bertscore_f1
report_1,zero_shot,gemini,0.6040515653775321,0.31423290203327175,0.3351749539594844,0.9016740918159485,0.9022542238235474,0.9019640684127808
report_1,zero_shot,openai,0.5089820359281438,0.27627627627627627,0.3203592814371257,0.8856974244117737,0.9020702838897705,0.893808901309967
report_1,zero_shot,ollama,0.4935064935064935,0.22608695652173913,0.3203463203463203,0.8941143751144409,0.864937961101532,0.8792842030525208
report_1,few_shot,gemini,0.594306049822064,0.2892857142857143,0.3238434163701068,0.898727297782898,0.8979260921478271,0.8983265161514282
report_1,few_shot,openai,0.5783132530120482,0.34542314335060453,0.36144578313253006,0.9099998474121094,0.9107866883277893,0.9103931188583374
report_1,few_shot,ollama,0.5436507936507937,0.25896414342629487,0.29365079365079366,0.8954851627349854,0.8884944319725037,0.8919760584831238
report_1,chain_of_event,gemini,0.5836177474402731,0.25342465753424653,0.3208191126279864,0.8960493803024292,0.9048107862472534,0.9004087448120117
report_1,chain_of_event,openai,0.5345622119815668,0.29275808936825887,0.32565284178187404,0.8989701867103577,0.9090980887413025,0.904005765914917
report_1,chain_of_event,ollama,0.5230769230769231,0.29580573951434874,0.3648351648351648,0.8977987170219421,0.8702065944671631,0.8837873339653015
report_2,zero_shot,gemini,0.49206349206349204,0.24302788844621512,0.3134920634920635,0.8755226731300354,0.8994007706642151,0.8873011469841003
report_2,zero_shot,openai,0.5415162454873647,0.3297101449275362,0.4043321299638989,0.8735479712486267,0.9178342819213867,0.8951436877250671
report_2,zero_shot,ollama,0.6303724928366763,0.4092219020172911,0.5329512893982808,0.9344987273216248,0.9137629866600037,0.9240145087242126
report_2,few_shot,gemini,0.5491071428571429,0.27802690582959644,0.3169642857142857,0.8919004797935486,0.9041144847869873,0.8979659080505371
report_2,few_shot,openai,0.5668016194331984,0.26422764227642276,0.3198380566801619,0.8632121086120605,0.9062287211418152,0.8841975331306458
report_2,few_shot,ollama,0.4909560723514212,0.28571428571428575,0.3359173126614987,0.8901082873344421,0.8868765830993652,0.8884894847869873
report_2,chain_of_event,gemini,0.5478260869565218,0.2707423580786026,0.29565217391304344,0.8862335681915283,0.9038236141204834,0.8949421644210815
report_2,chain_of_event,openai,0.47959183673469385,0.26621160409556316,0.3401360544217687,0.8649166822433472,0.9013017416000366,0.8827344179153442
report_2,chain_of_event,ollama,0.6294117647058823,0.36094674556213013,0.4647058823529412,0.9228362441062927,0.9128609299659729,0.9178215265274048
report_3,zero_shot,gemini,0.5692541856925418,0.283969465648855,0.334855403348554,0.8658133745193481,0.9131248593330383,0.8888399600982666
report_3,zero_shot,openai,0.5895316804407713,0.33701657458563533,0.3774104683195592,0.8678086996078491,0.89874267578125,0.8830048441886902
report_3,zero_shot,ollama,0.5396383866481224,0.2789400278940028,0.3671766342141864,0.8604577779769897,0.8911323547363281,0.8755264282226562
report_3,few_shot,gemini,0.5818181818181818,0.27197346600331673,0.3338842975206612,0.873765766620636,0.913152813911438,0.8930251598358154
report_3,few_shot,openai,0.5718194254445965,0.3264746227709191,0.36114911080711354,0.889499306678772,0.9042834043502808,0.8968303799629211
report_3,few_shot,ollama,0.5396145610278372,0.26666666666666666,0.3683083511777302,0.8938925266265869,0.8957826495170593,0.8948365449905396
report_3,chain_of_event,gemini,0.6159292035398231,0.36944937833037306,0.3504424778761062,0.8954486846923828,0.9212900400161743,0.908185601234436
report_3,chain_of_event,openai,0.5579514824797843,0.31891891891891894,0.339622641509434,0.8786138892173767,0.9035939574241638,0.8909288644790649
report_3,chain_of_event,ollama,0.5079365079365079,0.28151774785801714,0.3394383394383395,0.8657265901565552,0.8854480385780334,0.8754762411117554
report_4,zero_shot,gemini,0.5843137254901962,0.27165354330708663,0.3411764705882353,0.8984479904174805,0.8993741273880005,0.8989108204841614
report_4,zero_shot,openai,0.4283305227655987,0.1793570219966159,0.24957841483979767,0.8687881231307983,0.8812634944915771,0.8749813437461853
report_4,zero_shot,ollama,0.5034246575342466,0.2474226804123712,0.2808219178082192,0.8814137578010559,0.894207239151001,0.8877644538879395
report_4,few_shot,gemini,0.58,0.22489959839357432,0.304,0.9006047248840332,0.9048410058021545,0.9027179479598999
report_4,few_shot,openai,0.46345811051693403,0.20035778175313057,0.2709447415329768,0.8767887949943542,0.8918781876564026,0.884269118309021
report_4,few_shot,ollama,0.42562929061784893,0.18390804597701152,0.25629290617848977,0.8792308568954468,0.8645747303962708,0.8718411922454834
report_4,chain_of_event,gemini,0.5370741482965932,0.18913480885311867,0.28456913827655317,0.8959962725639343,0.8967930674552917,0.8963944911956787
report_4,chain_of_event,openai,0.4,0.19426751592356686,0.2507936507936508,0.86701500415802,0.8815874457359314,0.874240517616272
report_4,chain_of_event,ollama,0.5472972972972973,0.30508474576271183,0.3918918918918919,0.8967215418815613,0.9095951318740845,0.903112530708313
