report,prompt,model,reference_words,generated_words,length_ratio,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,bertscore_precision,bertscore_recall,bertscore_f1
report_annual_1,zero_shot,gemini,221,495,2.239819004524887,0.2159090909090909,0.4978165938864629,0.30118890356671074,0.056925996204933584,0.13157894736842105,0.07947019867549669,0.10037878787878787,0.2314410480349345,0.14002642007926025,0.820183277130127,0.8338762521743774,0.8269730806350708
report_annual_1,zero_shot,openai,221,382,1.7285067873303168,0.24396135265700483,0.4410480349344978,0.31415241057542764,0.06295399515738499,0.11403508771929824,0.08112324492979718,0.11594202898550725,0.2096069868995633,0.14930015552099532,0.8212169408798218,0.8398545980453491,0.8304311633110046
report_annual_1,zero_shot,qwen36,221,472,2.1357466063348416,0.272,0.5938864628820961,0.37311385459533614,0.08216432865731463,0.17982456140350878,0.11279229711141679,0.13,0.2838427947598253,0.17832647462277093,0.8255894780158997,0.8463413715362549,0.83583664894104
report_annual_1,few_shot,gemini,221,523,2.3665158371040724,0.21428571428571427,0.5240174672489083,0.3041825095057034,0.0626118067978533,0.15350877192982457,0.08894536213468868,0.10892857142857143,0.2663755458515284,0.15462610899873258,0.8120881915092468,0.8345892429351807,0.8231849670410156
report_annual_1,few_shot,openai,221,382,1.7285067873303168,0.24940047961630696,0.45414847161572053,0.32198142414860687,0.055288461538461536,0.10087719298245613,0.07142857142857142,0.1223021582733813,0.22270742358078602,0.15789473684210525,0.8195911645889282,0.8385754227638245,0.8289746046066284
report_annual_1,few_shot,qwen36,221,429,1.9411764705882353,0.2866666666666667,0.5633187772925764,0.3799705449189985,0.0935412026726058,0.18421052631578946,0.12407680945347117,0.1511111111111111,0.29694323144104806,0.20029455081001477,0.8324527144432068,0.8511068224906921,0.8416764140129089
report_annual_1,chain_of_event,gemini,221,608,2.751131221719457,0.20545746388443017,0.5589519650655022,0.3004694835680751,0.06752411575562701,0.18421052631578946,0.0988235294117647,0.11396468699839486,0.31004366812227074,0.16666666666666666,0.8149023056030273,0.8355981707572937,0.8251204490661621
report_annual_1,chain_of_event,openai,221,397,1.7963800904977376,0.2146118721461187,0.4104803493449782,0.2818590704647676,0.05491990846681922,0.10526315789473684,0.07218045112781954,0.11187214611872145,0.21397379912663755,0.14692653673163417,0.8180466294288635,0.8390165567398071,0.8283988237380981
report_annual_1,chain_of_event,qwen36,221,428,1.9366515837104072,0.2984409799554566,0.5851528384279476,0.3952802359882006,0.06473214285714286,0.12719298245614036,0.08579881656804735,0.13140311804008908,0.2576419213973799,0.17404129793510326,0.8298853635787964,0.8485135436058044,0.8390961289405823
report_annual_2,zero_shot,gemini,507,604,1.1913214990138068,0.4772727272727273,0.5769230769230769,0.5223880597014925,0.17450682852807284,0.21100917431192662,0.19102990033222594,0.17424242424242425,0.21062271062271062,0.19071310116086237,0.8461265563964844,0.8328356742858887,0.8394284844398499
